mz,intensity
429.093307,37930.57422
429.0944997,12572.90625
429.0956923,3522.159668
429.0968849,447.6456299
429.098078,0
429.0992706,0
429.1004633,0
429.101656,0
429.759571,0
429.7607664,0
429.7619618,0
429.7631572,0
429.7643526,1021.438049
429.7655481,2327.472656
429.7667435,3159.681641
429.767939,2923.810059
429.7691344,1820.278809
429.7703299,0
429.7715253,0
429.7727208,0
429.7739163,0
429.7882623,0
429.7894578,0
429.7906533,0
429.7918489,0
429.7930444,1508.952393
429.79424,2198.154297
429.7954355,2571.152344
429.7966311,2322.840332
429.7978267,1488.463989
429.7990224,0
429.800218,0
429.8014136,0
429.8026092,0
430.0801204,0
430.0813172,0
430.082514,0
430.0837107,0
430.0849075,0
430.0861043,3110.310303
430.087301,11881.11523
430.0884978,21302.07031
430.0896946,30108.36719
430.0908914,28526.6582
430.0920882,22581.97852
430.093285,14532.96191
430.0944818,7729.534668
430.0956786,2381.487305
430.0968754,0
430.0980727,0
430.0992695,0
430.1004663,0
430.1016632,0
430.8482641,0
430.8494641,0
430.850664,0
430.851864,0
430.853064,1676.627563
430.854264,2905.913574
430.8554639,3558.355713
430.8566639,3309.48291
430.8578639,2359.237305
430.8590639,1250.641724
430.8602639,0
430.861464,0
430.862664,0
430.863864,0
430.8806648,0
430.8818649,0
430.883065,0
430.8842651,0
430.8854652,1117.65686
430.8866653,4696.038574
430.8878654,9378.325195
430.8890655,14093.68457
430.8902657,14071.61621
430.8914658,9581.151367
430.8926659,5176.062012
430.8938661,1739.267212
430.8950662,691.5023804
430.8962665,0
430.8974667,0
430.8986668,0
430.899867,0
431.0595342,0
431.060735,0
431.0619359,0
431.0631367,0
431.0643376,718.3214722
431.0655384,1334.137085
431.0667393,4882.808594
431.0679402,9220.220703
431.0691411,13454.8418
431.0703419,12668.81738
431.0715428,8127.875488
431.0727437,4020.8125
431.0739446,772.1273193
431.0751455,0
431.0763464,0
431.0775473,0
431.0787483,0
431.0799492,0
431.0811501,0
431.082351,0
431.083552,3370.651123
431.0847529,11218.86035
431.0859539,19288.92578
431.0871548,23045.86719
431.0883558,16736.59375
431.0895567,9325.678711
431.0907577,3798.323242
431.0919587,2940.664063
431.0931596,2509.486328
431.0943606,4459.94873
431.0955616,3534.200684
431.0967626,1795.959229
431.0979642,0
431.0991652,0
431.1003662,0
431.1015672,0
432.0603721,0
432.0615772,0
432.0627822,0
432.0639872,0
432.0651923,941.1004028
432.0663973,2290.03418
432.0676024,3838.478027
432.0688074,4625.464355
432.0700125,4215.859375
